dataset,gauge,level,median,std,mad,step_mad,window,k,thresh,n_events,detected,n_flagged,pct_flagged,n_clusters,fp_clusters
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,3h,1.0,3.1134599999999995,7,7,2874,1.3632741347905282,905,898
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,3h,2.0,6.226919999999999,7,7,725,0.3439017911353977,261,255
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,3h,3.0,9.340379999999998,7,2,210,0.09961293260473589,88,86
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,3h,4.0,12.453839999999998,7,1,54,0.025614754098360656,26,25
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,3h,5.0,15.567299999999998,7,0,6,0.0028460837887067394,6,6
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,3h,6.0,18.680759999999996,7,0,3,0.0014230418943533697,3,3
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,3h,8.0,24.907679999999996,7,0,1,0.0004743472981177899,1,1
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,3h,10.0,31.134599999999995,7,0,0,0.0,0,0
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,3h,12.0,37.36151999999999,7,0,0,0.0,0,0
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,3h,15.0,46.701899999999995,7,0,0,0.0,0,0
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,3h,20.0,62.26919999999999,7,0,0,0.0,0,0
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,6h,0.5,1.5567299999999997,7,6,4236,2.009335154826958,634,630
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,6h,1.0,3.1134599999999995,7,6,1088,0.5160898603521554,265,261
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,6h,2.0,6.226919999999999,7,6,134,0.06356253794778385,51,46
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,6h,3.0,9.340379999999998,7,3,48,0.022768670309653915,13,10
